"species","graf_cur_auc","phys_cur_auc","maxent_cur_auc"
"pseudacris triseriata",0.79455736615527,0.793796047499352,0.798092369477911
"eleutherodactylus coqui",0.900603934955079,0.900678957930866,0.89411444754956
"eleutherodactylus fitzingeri",0.761904761904762,0.590062111801242,0.826086956521739
"engystomops pustulosus",0.689181726907631,0.683268072289158,0.715948795180723
"leptodactylus pentadactylus",0.644470868014269,0.60077288941736,0.679250891795481
"adelotus brevis",0.846297309898842,0.845755032536644,0.846353058038882
"limnodynastes dorsalis",0.715494601692442,0.711175955646337,0.726466297052816
"limnodynastes fletcheri",0.724563920216093,0.724537213667648,0.725601660384269
"neobatrachus pictus",0.790625718886587,0.789314469749251,0.789199447895099
"philoria loveridgei",0.944602272727273,0.942708333333333,0.939038825757576
"pseudophryne corroboree",0.907894736842105,0.909279778393352,0.931440443213296
"pseudophryne dendyi",0.754881582262534,0.758093978332073,0.793902746283699
"rana cascadae",0.888888888888889,0.878395061728395,0.909012345679013
"rana catesbeiana",0.741151167259103,0.740752473820733,0.743608175617254
"rana clamitans",0.725721396992806,0.724992612712953,0.801782040936936
"rana palmipes",0.682269503546099,0.675177304964539,0.728132387706856
"rana palustris",0.724487755011334,0.723621049824436,0.780345793146363
"rana pipiens",0.801464915290948,0.801463089927151,0.805882295674857
"rana virgatipes",0.690322580645161,0.663225806451613,0.841290322580645
"rana warszewitschii",0.953281423804227,0.953281423804227,0.969966629588432
"ambystoma jeffersonianum",0.875663184378932,0.873078816386808,0.859685226713341
"ambystoma macrodactylum",0.801626016260163,0.798082756946973,0.807935930105569
"ambystoma maculatum",0.754819113443963,0.754490920353407,0.795280322542082
"desmognathus quadramaculatus",0.907277281673417,0.906886904471446,0.91488963711186
"eurycea longicauda",0.700763125763126,0.693253968253968,0.709737484737485
"eurycea lucifuga",0.636056191467222,0.624869927159209,0.833766909469303
"eurycea multiplicata",0.910493827160494,0.91358024691358,0.934413580246913
"eurycea nana",1,1,0.996364265927978
"taricha torosa",0.839961074258337,0.839189469320065,0.837323797678274
"laudakia stellio",0.814387986729527,0.778243408416274,0.821721669285839
"charina bottae",0.686302681992337,0.685344827586207,0.716315453384419
"chamaeleo dilepis",0.639348025711662,0.629935720844812,0.650137741046832
"thamnophis ordinoides",0.892321771758031,0.891955706049236,0.900228791067998
"sphaerodactylus macrolepis",0.866355866355866,0.865967365967366,0.906759906759906
